Date,Description,Amount,Balance
10/25/2017 08:14AM,PIT McConnell 2 - Board,-1,8
10/24/2017 12:26PM,POM Frary 2 - Board,-1,9
10/24/2017 08:34AM,PIT McConnell 2 - Board,-1,10
10/23/2017 06:33PM,PIT McConnell 2 - Board,-1,11
10/23/2017 12:03PM,POM Frary 2 - Board,-1,12
10/23/2017 07:51AM,PIT McConnell 1 - Board,-1,13
10/22/2017 06:24PM,POM Frary 2 - Board,-1,14
10/22/2017 10:28AM,POM Frary 1 - Board,-1,15
10/21/2017 08:43PM,POM Frary 1 - Board,-1,4
10/21/2017 10:34AM,PIT McConnell 2 - Board,-1,5
10/20/2017 06:14PM,POM Frary 2 - Board,-1,6
10/20/2017 12:06PM,PIT McConnell 1 - Board,-1,7
10/19/2017 06:05PM,PIT McConnell 1 - Board,-1,8
10/19/2017 12:33PM,POM Frary 1 - Board,-1,9
10/18/2017 06:09PM,PIT McConnell 1 - Board,-1,10
10/18/2017 12:20PM,PIT McConnell 1 - Board,-1,11
10/18/2017 08:36AM,PIT McConnell 2 - Board,-1,12
10/17/2017 06:30PM,CMC Collins 2 - Board,-1,13
10/17/2017 11:22AM,POM Frary 1 - Board,-1,14
10/16/2017 06:32PM,POM Frary 1 - Board,-1,15
10/11/2017 06:31PM,POM Frary 1 - Board,-1,5
10/11/2017 12:17PM,PIT McConnell 2 - Board,-1,6
10/11/2017 08:26AM,PIT McConnell 1 - Board,-1,7
10/10/2017 06:41PM,POM Frary 1 - Board,-1,8
10/10/2017 12:11PM,SCR Malott Commons 2 - Board,-1,9
10/10/2017 08:14AM,PIT McConnell 1 - Board,-1,10
10/09/2017 06:21PM,POM Frary 1 - Board,-1,11
10/09/2017 12:38PM,PIT McConnell 1 - Board,-1,12
10/09/2017 08:30AM,POM Frary 1 - Board,-1,13
10/08/2017 06:23PM,PIT McConnell 1 - Board,-1,14
10/08/2017 09:04AM,POM Frary 1 - Board,-1,15
10/07/2017 06:19PM,PIT McConnell 2 - Board,-1,1
10/07/2017 11:01AM,POM Frary 1 - Board,-1,2
10/06/2017 12:03PM,PIT McConnell 1 - Board,-1,3
10/05/2017 06:30PM,CMC Collins 2 - Board,-1,4
10/05/2017 01:31PM,POM Frary 2 - Board,-1,5
10/04/2017 06:10PM,POM Frary 1 - Board,-1,6
10/04/2017 01:19PM,PIT McConnell 1 - Board,-1,7
10/03/2017 06:09PM,CMC Collins 2 - Board,-1,8
10/03/2017 12:43PM,CMC Collins 1 - Board,-1,9
10/03/2017 08:50AM,POM Frary 1 - Board,-1,10
10/02/2017 06:50PM,POM Frary 1 - Board,-1,11
10/02/2017 12:35PM,POM Frary 2 - Board,-1,12
10/02/2017 08:27AM,PIT McConnell 1 - Board,-1,13
10/01/2017 06:16PM,PIT McConnell 1 - Board,-1,14
10/01/2017 11:43AM,PIT McConnell 1 - Board,-1,15
9/30/2017 12:15PM,POM Frary 1 - Board,-1,1
9/29/2017 12:23PM,PIT McConnell 2 - Board,-1,2
9/29/2017 08:00AM,PIT McConnell 2 - Board,-1,3
9/28/2017 05:54PM,POM Frary 1 - Board,-1,4
9/28/2017 01:17PM,POM Frary 1 - Board,-1,5
9/28/2017 09:37AM,PIT McConnell 2 - Board,-1,6
9/27/2017 06:17PM,CMC Collins 2 - Board,-1,7
9/27/2017 07:42AM,PIT McConnell 1 - Board,-1,8
9/26/2017 06:09PM,CMC Collins 2 - Board,-1,9
9/26/2017 12:09PM,CMC Collins 1 - Board,-1,10
9/26/2017 08:45AM,PIT McConnell 1 - Board,-1,11
9/25/2017 12:22PM,CMC Collins 1 - Board,-1,12
9/25/2017 08:09AM,PIT McConnell 1 - Board,-1,13
9/24/2017 06:10PM,HMC Hoch Shanahan 2 - Board,-1,14
9/24/2017 11:44AM,PIT McConnell 2 - Board,-1,15
9/23/2017 05:52PM,HMC Hoch Shanahan 2 - Board,-1,0
9/23/2017 10:32AM,POM Frary 1 - Board,-1,1
9/22/2017 06:11PM,POM Frary 1 - Board,-1,2
9/22/2017 12:37PM,POM Frary 2 - Board,-1,3
9/21/2017 01:38PM,POM Oldenborg - Board,-1,4
9/21/2017 12:39PM,PIT McConnell 1 - Board,-1,5
9/20/2017 06:23PM,CMC Collins 2 - Board,-1,6
9/20/2017 01:15PM,PIT McConnell 1 - Board,-1,7
9/19/2017 06:26PM,CMC Collins 1 - Board,-1,8
9/19/2017 12:24PM,CMC Collins 1 - Board,-1,9
9/19/2017 08:48AM,PIT McConnell 1 - Board,-1,10
9/18/2017 06:41PM,POM Frary 1 - Board,-1,11
9/18/2017 12:26PM,POM Frary 1 - Board,-1,12
9/18/2017 08:08AM,POM Frary 1 - Board,-1,13
9/17/2017 06:04PM,PIT McConnell 2 - Board,-1,14
9/17/2017 10:24AM,POM Frary 1 - Board,-1,15
9/16/2017 05:14PM,PIT McConnell 2 - Board,-1,0
9/16/2017 11:46AM,POM Frary 1 - Board,-1,1
9/15/2017 06:17PM,PIT McConnell 2 - Board,-1,2
9/15/2017 12:45PM,PIT McConnell 1 - Board,-1,3
9/14/2017 05:56PM,PIT McConnell 2 - Board,-1,4
9/14/2017 12:24PM,CMC Collins 2 - Board,-1,5
9/13/2017 07:01PM,POM Frary 1 - Board,-1,6
9/13/2017 01:15PM,PIT McConnell 1 - Board,-1,7
9/13/2017 07:31AM,PIT McConnell 1 - Board,-1,8
9/12/2017 12:46PM,PIT McConnell 1 - Board,-1,9
9/12/2017 08:53AM,POM Frary 1 - Board,-1,10
9/11/2017 06:51PM,POM Frary 2 - Board,-1,11
9/11/2017 12:17PM,CMC Collins 2 - Board,-1,12
9/11/2017 08:03AM,PIT McConnell 1 - Board,-1,13
9/10/2017 05:56PM,POM Frary 1 - Board,-1,14
9/10/2017 11:38AM,POM Frary 1 - Board,-1,15
9/09/2017 06:21PM,HMC Hoch Shanahan 2 - Board,-1,0
9/08/2017 06:04PM,PIT McConnell 2 - Board,-1,1
9/08/2017 12:00PM,PIT McConnell 1 - Board,-1,2
9/07/2017 06:06PM,PIT McConnell 1 - Board,-1,3
9/07/2017 12:35PM,CMC Collins 1 - Board,-1,4
9/06/2017 06:32PM,POM Frary 1 - Board,-1,5
9/06/2017 01:04PM,PIT McConnell 1 - Board,-1,6
9/06/2017 08:59AM,PIT McConnell 1 - Board,-1,7
9/05/2017 06:47PM,PIT McConnell 2 - Board,-1,8
9/05/2017 12:21PM,PIT McConnell 1 - Board,-1,9
9/05/2017 08:46AM,PIT McConnell 1 - Board,-1,10
9/04/2017 06:37PM,POM Frary 1 - Board,-1,11
9/04/2017 12:55PM,PIT McConnell 1 - Board,-1,12
9/04/2017 08:24AM,POM Frary 2 - Board,-1,13
9/03/2017 05:08PM,POM Frary 2 - Board,-1,14
9/03/2017 10:27AM,POM Frary 1 - Board,-1,15
9/02/2017 06:53PM,POM Frary 2 - Board,-1,0
9/02/2017 10:32AM,PIT McConnell 2 - Board,-1,1
9/01/2017 05:04PM,POM Frary 1 - Board,-1,2
9/01/2017 12:11PM,PIT McConnell 2 - Board,-1,3
9/01/2017 08:01AM,POM Frary 1 - Board,-1,4
8/31/2017 06:22PM,POM Frary 1 - Board,-1,5
8/31/2017 12:26PM,PIT McConnell 2 - Board,-1,6
8/30/2017 06:16PM,POM Frary 1 - Board,-1,7
8/30/2017 12:34PM,PIT McConnell 1 - Board,-1,8
8/29/2017 06:29PM,PIT McConnell 2 - Board,-1,9
8/29/2017 12:52PM,PIT McConnell 1 - Board,-1,10
8/29/2017 08:50AM,POM Frary 1 - Board,-1,11
8/28/2017 05:46PM,POM Frary 1 - Board,-1,12
8/28/2017 12:41PM,PIT McConnell 1 - Board,-1,13
8/28/2017 09:20AM,POM Frary 1 - Board,-1,14
8/27/2017 09:41AM,POM Frary 1 - Board,-1,15
